id,Accuracy,Precision,Recall,F1
45,0.807,0.41361256544502617,0.49375,0.4501424501424502
46,0.845,0.5454545454545454,0.1875,0.27906976744186046
47,0.843,0.5185185185185185,0.2625,0.3485477178423236
48,0.842,0.5185185185185185,0.175,0.26168224299065423
49,0.842,0.5089285714285714,0.35625,0.41911764705882354
50,0.845,0.5510204081632653,0.16875,0.2583732057416268
51,0.84,0.5,0.1875,0.2727272727272727
52,0.81,0.421875,0.50625,0.4602272727272727
53,0.8,0.4180327868852459,0.6375,0.5049504950495051
54,0.841,0.509090909090909,0.175,0.26046511627906976
55,0.842,0.5121951219512195,0.2625,0.34710743801652894
56,0.842,0.5178571428571429,0.18125,0.2685185185185185
57,0.843,0.5137614678899083,0.35,0.4163568773234201
58,0.843,0.5263157894736842,0.1875,0.2764976958525346
59,0.843,0.5254237288135594,0.19375,0.28310502283105027
60,0.815,0.43315508021390375,0.50625,0.4668587896253602
61,0.837,0.48314606741573035,0.26875,0.3453815261044177
62,0.813,0.4293193717277487,0.5125,0.4672364672364672
63,0.842,0.5138888888888888,0.23125,0.31896551724137934
64,0.845,0.5555555555555556,0.15625,0.24390243902439024
65,0.841,0.5045045045045045,0.35,0.41328413284132837
66,0.827,0.4585987261146497,0.45,0.45425867507886436
67,0.813,0.42702702702702705,0.49375,0.4579710144927537
68,0.842,0.5147058823529411,0.21875,0.30701754385964913
69,0.815,0.4293785310734463,0.475,0.4510385756676558
70,0.844,0.5434782608695652,0.15625,0.24271844660194175
71,0.815,0.42857142857142855,0.46875,0.4477611940298507
72,0.838,0.4880952380952381,0.25625,0.3360655737704918
73,0.845,0.5531914893617021,0.1625,0.25120772946859904
74,0.832,0.4722222222222222,0.425,0.4473684210526316
75,0.842,0.5079365079365079,0.4,0.44755244755244755
76,0.833,0.4588235294117647,0.24375,0.3183673469387755
77,0.834,0.45588235294117646,0.19375,0.2719298245614035
78,0.84,0.5,0.1875,0.2727272727272727
79,0.825,0.453416149068323,0.45625,0.45482866043613707
80,0.839,0.4909090909090909,0.16875,0.2511627906976744
81,0.832,0.45121951219512196,0.23125,0.3057851239669422
82,0.846,0.5625,0.16875,0.25961538461538464
83,0.799,0.41125541125541126,0.59375,0.48593350383631717
84,0.839,0.4909090909090909,0.16875,0.2511627906976744
85,0.84,0.5,0.18125,0.2660550458715596
86,0.838,0.4878048780487805,0.25,0.3305785123966942
87,0.84,0.5,0.31875,0.3893129770992366
88,0.832,0.45121951219512196,0.23125,0.3057851239669422
89,0.84,0.5,0.1375,0.21568627450980396
90,0.818,0.4375,0.48125,0.45833333333333337
91,0.834,0.4594594594594595,0.2125,0.2905982905982906
92,0.84,0.5,0.29375,0.3700787401574803
93,0.841,0.5036496350364964,0.43125,0.4646464646464647
